"","compost","rep","kit","size","dna_25","logcopyITS2","copies_per_ngDNA_ITS2","logcopy16s","copies_per_ngDNA_16S","ratioF_B","num_seq.F","num_seq.B","dna_23","sobs.F","shannon.F","evenness.F","sobs.B","shannon.B","evenness.B","replicate_ID"
"K20_1M10","A",1,"M","10",9.82107077047379,3.64352030947776,4480.86096858967,5.48776577792778,313045.119505549,0.0143137863821904,116688,132582,16.6,178.09,0.320055407661949,0.0617594667455707,2484.52,5.30780606165068,0.678935565149558,"K20_1"
"K20_1M2","A",1,"M","2",24.8362038452318,4.0816247582205,4858.91769381266,5.99400944988188,397122.262573299,0.0122353193254075,127566,118218,30.5,195.86,0.31883687951004,0.0604155213482639,2335.55,5.0841773730674,0.655515163844404,"K20_1"
"K20_1S10","A",1,"S","10",12.1008978081202,3.54003868471954,2865.63644171378,5.52910901113736,279441.830681426,0.0102548585325463,148053,98599,16.8,201.38,0.337225679080486,0.0635651966782016,2351.76,5.06426591231775,0.65236617060519,"K20_1"
"K20_1S2","A",1,"S","2",18.0233535204419,3.85822050290135,4002.99365399644,5.71388795140061,287112.664845714,0.0139422399083215,131044,151584,46.1,141.54,0.218997475666642,0.044218845771919,2197.8,4.87085160048388,0.632971711824534,"K20_1"
"K20_2M10","A",2,"M","10",12.6369871521681,3.71798839458414,4133.75611754123,5.62192035099562,331342.242387998,0.012475789648036,121632,171094,17.6,167.69,0.207355869114205,0.0404824543496584,2479.16,5.37868693526253,0.68819224003549,"K20_2"
"K20_2M2","A",2,"M","2",28.291259142508,4.21508704061896,5800.09041773212,6.1011643604455,446182.038831876,0.0129993812232267,122999,167072,38.8,166.42,0.288307906519126,0.0563705302791849,2336.43,5.0454127274655,0.650485550763071,"K20_2"
"K20_2S10","A",2,"S","10",10.6443094823918,3.32727272727273,1995.97562861651,5.07433344583193,111484.875372138,0.0179035552755827,134930,164959,16.3,183.07,0.234771512445083,0.0450628472173306,2334.94,4.9871437551173,0.643026043601115,"K20_2"
"K20_2S2","A",2,"S","2",24.5004243424805,4.03520309477756,4426.18424989131,5.85647991900102,293296.116568665,0.015091179186667,145648,103783,31.9,160.92,0.202056740145704,0.0397678458478019,2267.1,4.89911818992487,0.634086898955752,"K20_2"
"K20_3M10","A",3,"M","10",12.7828775568118,3.59323017408124,3066.20752479884,5.50970300371246,252973.118638131,0.0121206851593783,136289,182624,19.5,208.71,0.35237568484807,0.0659762713859659,2510.35,5.32772210154827,0.680582693176869,"K20_3"
"K20_3M2","A",3,"M","2",26.9099317398101,4.13191489361702,5035.03272397593,6.08513331083362,452085.642433153,0.0111373426877197,120568,112092,36.4,179.58,0.275729789770388,0.053120773192207,2343.5,5.1052952498784,0.657949675502595,"K20_3"
"K20_3S10","A",3,"S","10",11.7523818414714,3.42495164410058,2263.73586013675,5.41857914276072,223076.205856416,0.0101478140684973,128439,98225,16.8,228,0.40805967309102,0.075158168401521,2377.8,5.13049600847041,0.659961611268367,"K20_3"
"K20_3S2","A",3,"S","2",19.7589861915602,3.94429400386847,4451.73543166118,5.70713803577456,257853.706218234,0.0172645780312867,138136,208697,27.3,170.27,0.209135182452602,0.040708486061118,2288.31,4.87314075199176,0.629965404910955,"K20_3"
"K21_1M10","B",1,"M","10",30.3835128027554,4.06905222437137,3858.46211847958,6.13575767802903,449903.83430765,0.0085761930089289,107369,159061,39,205.72,1.68126233169512,0.315640152981071,2768.86,5.16384426859207,0.651491276612942,"K21_1"
"K21_1M2","B",1,"M","2",47.3345883899283,4.24700193423598,3730.98350752303,6.46987850151874,623303.975055442,0.00598581696385164,117335,170211,63.4,203.26,1.29320866964347,0.243336548890641,2618.67,5.04580528543907,0.641109891144999,"K21_1"
"K21_1S10","B",1,"S","10",25.5147100128605,3.99458413926499,3870.73556207892,6.09863314208573,491861.132445916,0.00786956989837885,106075,155465,34.7,219.68,1.67285929983134,0.310238493471476,2639.36,5.08646976146678,0.645631048926764,"K21_1"
"K21_1S2","B",1,"S","2",21.1484186167383,3.92785299806576,4004.74713831858,5.96363482956463,434867.479490162,0.00920912077172048,123777,167790,34.8,189.89,1.07021076534497,0.203987800136746,2529.19,5.00844384537876,0.639186417288597,"K21_1"
"K21_2M10","B",2,"M","10",41.7618065046098,4.01295938104449,2467.06222888526,6.35512993587581,542438.690731112,0.00454809413679561,111438,157478,50.4,203.94,2.02090806219988,0.380025244468018,2759.8,5.20946359794607,0.657518677062104,"K21_2"
"K21_2M2","B",2,"M","2",36.9034244579037,4.19864603481625,4281.33652935626,6.39309821127236,669933.264939906,0.0063906910634454,129236,135573,47.8,204.74,1.29734068931718,0.243781258465472,2575.91,5.02854539317363,0.640256199224783,"K21_2"
"K21_2S10","B",2,"S","10",25.1326160959365,3.57678916827853,1501.59035786816,5.64638879514006,176258.91717414,0.00851923058386101,119882,104730,33.9,153.06,1.52201422016092,0.302537398350349,2550.69,5.14046995940275,0.655327874938041,"K21_2"
"K21_2S2","B",2,"S","2",34.2577135482937,4.11644100580271,3816.6526075813,6.23363145460682,499888.425323626,0.0076350089624708,121049,104897,50.8,202.4,1.64089275681567,0.309005039720434,2387.02,4.98034430918528,0.640328070359436,"K21_2"
"K21_3M10","B",3,"M","10",47.5302667898075,3.98781431334623,2045.70996799632,6.35512993587581,476606.195860535,0.00429224375546081,99767,171382,52,234.41,1.64773491439573,0.301944888993539,2788.58,5.28792441090324,0.666548920753437,"K21_3"
"K21_3M2","B",3,"M","2",36.5190148202711,4.15899419729207,3948.89098273257,6.35175497806278,615511.150687603,0.00641562866622508,108022,173037,45,219.94,1.16767939431671,0.216503353022343,2634.52,5.09855307730985,0.647315606827317,"K21_3"
"K21_3S10","B",3,"S","10",25.2553492934939,3.7605415860735,2281.33049954444,6.0210091123861,415581.047101005,0.00548949600916225,106590,97396,32.4,251.24,1.68669854627685,0.305206988983975,2539.87,5.07010731123554,0.646708234932001,"K21_3"
"K21_3S2","B",3,"S","2",24.002544390125,4.04003868471954,4568.58177745763,6.09019574755316,512788.723217783,0.00890928675028086,129349,102835,47.2,192.09,1.835928334409,0.349170958597192,2367.62,4.87051674695178,0.62686513495531,"K21_3"
"K22_1M10","C",1,"M","10",28.0643185130623,4.00425531914894,3598.32858165669,6.1382888963888,489930.408562969,0.00734457081815164,98400,115794,38.6,198.47,2.33322812723637,0.441010733864577,2748.87,5.1756405319499,0.653577010967314,"K22_1"
"K22_1M2","C",1,"M","2",23.9458092327635,3.96073500967118,3815.09618171407,6.17963212959838,631542.542631468,0.00604091715788076,107635,194646,31.4,180.01,2.39887853110486,0.461943539522481,2710.39,5.02629244625841,0.63584936281088,"K22_1"
"K22_1S10","C",1,"S","10",17.2811650333259,3.78375241779497,3517.05694526894,5.81598042524469,378797.764707905,0.00928478801341654,88625,96759,23.3,270,2.32301679491242,0.414941355247191,2591.4,5.12353613499194,0.651853233346001,"K22_1"
"K22_1S2","C",1,"S","2",34.3295008902612,4.27117988394584,5438.91653954038,6.36609854876814,676754.355351327,0.00803676621588471,106187,132192,47.6,187.5,2.25338766034614,0.430546977032121,2474.71,4.80150259081146,0.614483907448908,"K22_1"
"K22_2M10","C",2,"M","10",41.0450909452887,4.15029013539652,3443.72856586865,6.38297333783328,588453.452927612,0.005852168168503,115998,108959,53.5,243.5,2.43000545920207,0.442211782682559,2702.91,5.17774279476,0.655237609642438,"K22_2"
"K22_2M2","C",2,"M","2",28.3514678809324,4.07969052224371,4237.5513414976,6.23110023624705,600516.143751203,0.00705651527538824,117998,148210,34.9,170.79,2.49163472846982,0.484712842113883,2753.02,5.09895214222475,0.643770204377744,"K22_2"
"K22_2S10","C",2,"S","10",17.9712498044977,3.68704061895551,2706.83845640451,5.83201147485657,377948.994114862,0.00716191469894975,103761,96235,26.7,247.48,2.12432665338659,0.385447204537557,2623,5.17328937834922,0.657169812120681,"K22_2"
"K22_2S2","C",2,"S","2",24.193591348587,3.9926499032882,4063.96128979607,6.10369557880527,524801.705879593,0.00774380350571589,107877,164861,42,168.51,2.08960693498948,0.40756952097355,2484.53,4.80317075615374,0.614386007147826,"K22_2"
"K22_3M10","C",3,"M","10",36.5525927705462,4.12321083172147,3633.22792649912,6.1872257846777,421024.72092054,0.00862948835535197,129803,146566,44,189.47,2.0419500143897,0.38937074490999,2751.44,5.23702481122077,0.661250551299421,"K22_3"
"K22_3M2","C",3,"M","2",21.9936566753883,4.00135396518375,4560.96273432653,6.13491393857577,620321.019192654,0.00735258453802292,116289,136797,35.9,182.17,2.44088918070453,0.468956228510869,2687.76,4.98778577904007,0.631648057977015,"K22_3"
"K22_3S10","C",3,"S","10",18.8454343720056,3.73829787234043,2904.63603082098,5.79151198110024,328326.418348462,0.0088467935216173,112097,124482,28,216.05,2.1675384731692,0.403224722614564,2641.72,5.05742189064208,0.641871154218789,"K22_3"
"K22_3S2","C",3,"S","2",21.4355679846084,3.88046421663443,3542.65793826888,5.97375970300372,439161.95260298,0.0080668598845392,111788,177562,26.1,191.92,2.13677077908586,0.406455930020457,2615.9,4.88181669495325,0.620357250484035,"K22_3"
